"time","date","Cases_sq","Hospitalizations_sq","ICU_sq","Death_sq","Severe_sq","Cases_sim","Hospitalizations_sim","ICU_sim","Death_sim","Severe_sim"
1,2020-04-01,0,0,0,0,0,0,0,0,0,0
2,2020-04-02,0,0,0,0,0,0,0,0,0,0
3,2020-04-03,0,0,0,0,0,0,0,0,0,0
4,2020-04-04,0,0,0,0,0,0,0,0,0,0
5,2020-04-05,0,0,0,0,0,0,0,0,0,0
6,2020-04-06,0,0,0,0,0,0,0,0,0,0
7,2020-04-07,0,0,0,0,0,0,0,0,0,0
8,2020-04-08,0,0,0,0,0,0,0,0,0,0
9,2020-04-09,0,0,0,0,0,0,0,0,0,0
10,2020-04-10,0,0,0,0,0,0,0,0,0,0
11,2020-04-11,0,0,0,0,0,0,0,0,0,0
12,2020-04-12,0,0,0,0,0,0,0,0,0,0
13,2020-04-13,0,0,0,0,0,0,0,0,0,0
14,2020-04-14,0,0,0,0,0,0,0,0,0,0
15,2020-04-15,1,0,0,0,0,1,0,0,0,0
16,2020-04-16,2,0,0,0,0,2,0,0,0,0
17,2020-04-17,2,0,0,0,0,2,0,0,0,0
18,2020-04-18,4,0,0,0,0,4,0,0,0,0
19,2020-04-19,6,0,0,0,0,6,0,0,0,0
20,2020-04-20,9,0,0,0,0,9,0,0,0,0
21,2020-04-21,12,0,0,0,0,12,0,0,0,0
22,2020-04-22,16,0,0,0,0,16,0,0,0,0
23,2020-04-23,20,0,0,0,0,20,0,0,0,0
24,2020-04-24,25,0,0,0,0,25,0,0,0,0
25,2020-04-25,30,0,0,0,0,30,0,0,0,0
26,2020-04-26,36,0,0,0,0,36,0,0,0,0
27,2020-04-27,44,0,0,0,0,44,0,0,0,0
28,2020-04-28,53,0,0,0,0,53,0,0,0,0
29,2020-04-29,65,0,0,0,0,65,0,0,0,0
30,2020-04-30,79,0,0,0,0,79,0,0,0,0
31,2020-05-01,96,0,0,0,0,96,0,0,0,0
32,2020-05-02,117,1,0,0,1,117,1,0,0,1
33,2020-05-03,143,1,0,0,1,143,1,0,0,1
34,2020-05-04,173,1,0,0,1,173,1,0,0,1
35,2020-05-05,208,1,0,0,1,208,1,0,0,1
36,2020-05-06,248,1,0,0,1,248,1,0,0,1
37,2020-05-07,295,1,0,0,1,295,1,0,0,1
38,2020-05-08,350,2,0,0,2,350,2,0,0,2
39,2020-05-09,411,2,0,0,2,411,2,0,0,2
40,2020-05-10,479,2,0,0,3,479,2,0,0,3
41,2020-05-11,554,3,0,0,3,554,3,0,0,3
42,2020-05-12,637,3,0,0,3,637,3,0,0,3
43,2020-05-13,731,4,0,0,4,731,4,0,0,4
44,2020-05-14,834,4,0,0,5,834,4,0,0,5
45,2020-05-15,952,5,0,0,5,952,5,0,0,5
46,2020-05-16,1080,6,0,0,6,1080,6,0,0,6
47,2020-05-17,1219,7,0,0,7,1219,7,0,0,7
48,2020-05-18,1371,7,1,0,8,1371,7,1,0,8
49,2020-05-19,1534,8,1,0,9,1534,8,1,0,9
50,2020-05-20,1710,9,1,0,10,1710,9,1,0,10
51,2020-05-21,1899,11,1,0,11,1899,11,1,0,11
52,2020-05-22,2101,12,1,0,13,2101,12,1,0,13
53,2020-05-23,2317,13,1,0,14,2317,13,1,0,14
54,2020-05-24,2546,14,1,0,16,2546,14,1,0,16
55,2020-05-25,2790,16,1,0,17,2790,16,1,0,17
56,2020-05-26,3050,17,2,0,19,3050,17,2,0,19
57,2020-05-27,3326,19,2,1,22,3326,19,2,1,22
58,2020-05-28,3618,21,2,1,24,3618,21,2,1,24
59,2020-05-29,3939,23,2,1,26,3939,23,2,1,26
60,2020-05-30,4281,25,2,1,28,4281,25,2,1,28
61,2020-05-31,4646,27,3,1,31,4646,27,3,1,31
62,2020-06-01,5036,29,3,1,33,5036,29,3,1,33
63,2020-06-02,5452,32,3,1,36,5452,32,3,1,36
64,2020-06-03,5896,34,4,1,39,5896,34,4,1,39
65,2020-06-04,6370,37,4,1,42,6370,37,4,1,42
66,2020-06-05,6893,40,4,1,45,6893,40,4,1,45
67,2020-06-06,7455,43,5,2,50,7455,43,5,2,50
68,2020-06-07,8059,47,5,2,54,8059,47,5,2,54
69,2020-06-08,8707,50,6,2,58,8707,50,6,2,58
70,2020-06-09,9404,54,6,2,62,9404,54,6,2,62
71,2020-06-10,10154,58,7,2,67,10154,58,7,2,67
72,2020-06-11,10959,63,7,3,73,10959,63,7,3,73
73,2020-06-12,11854,67,8,3,78,11854,67,8,3,78
74,2020-06-13,12821,72,8,3,84,12821,72,8,3,84
75,2020-06-14,13868,78,9,3,90,13868,78,9,3,90
76,2020-06-15,15002,84,10,4,98,15002,84,10,4,98
77,2020-06-16,16229,90,11,4,105,16229,90,11,4,105
78,2020-06-17,17558,97,11,4,112,17558,97,11,4,112
79,2020-06-18,18996,105,12,4,121,18996,105,12,4,121
80,2020-06-19,20520,113,13,5,131,20520,113,13,5,131
81,2020-06-20,22163,121,14,5,141,22163,121,14,5,141
82,2020-06-21,23933,131,15,6,152,23933,131,15,6,152
83,2020-06-22,25839,141,17,6,163,25839,141,17,6,163
84,2020-06-23,27892,152,18,7,177,27892,152,18,7,177
85,2020-06-24,30102,164,19,7,190,30102,164,19,7,190
86,2020-06-25,32480,176,21,8,205,32480,176,21,8,205
87,2020-06-26,35013,190,22,8,221,35013,190,22,8,221
88,2020-06-27,37732,205,24,9,238,37732,205,24,9,238
89,2020-06-28,40651,221,26,10,257,40651,221,26,10,257
90,2020-06-29,43784,238,28,11,277,43784,238,28,11,277
91,2020-06-30,47146,257,30,11,298,47146,257,30,11,298
92,2020-07-01,50752,277,33,12,321,50752,277,33,12,321
93,2020-07-02,54620,298,35,13,346,54620,298,35,13,346
94,2020-07-03,58906,321,38,14,373,58906,321,38,14,373
95,2020-07-04,63529,346,41,15,402,63529,346,41,15,402
96,2020-07-05,68520,372,44,17,433,68520,372,44,17,433
97,2020-07-06,73907,401,48,18,466,73907,401,48,18,466
98,2020-07-07,79722,431,51,19,502,79722,431,51,19,502
99,2020-07-08,85998,465,55,21,541,85998,465,55,21,541
100,2020-07-09,92770,500,60,23,583,92770,500,60,23,583
101,2020-07-10,100311,539,64,24,627,100311,539,64,24,627
102,2020-07-11,108494,581,69,26,676,108494,581,69,26,676
103,2020-07-12,117376,626,75,28,728,117376,626,75,28,728
104,2020-07-13,127017,674,80,30,785,127017,674,80,30,785
105,2020-07-14,137480,727,87,33,847,137480,727,87,33,847
106,2020-07-15,148833,784,93,35,913,148833,784,93,35,913
